red_fighter_name;blue_fighter_name;date;red_fighter_total_pts;blue_fighter_total_pts
AUSTEN LANE;JHONATA DINIZ;04/27/2024;['10', '10', '10'];['8', '9', '9']
ALEX MORONO;JOAQUIN BUCKLEY;10/07/2023;['27', '26', '27'];['30', '30', '30']
DERRICK LEWIS;RODRIGO NASCIMENTO;05/11/2024;['19', '18', '19'];['19', '20', '19']
TAFON NCHUKWI;JAMIE PICKETT;12/19/2020;['30', '30', '30'];['26', '25', '26']
OUMAR SY;TUCO TOKKOS;05/18/2024;['-', '-', '-'];['-', '-', '-']
SHARA MAGOMEDOV;BRUNO SILVA;10/21/2023;['30', '30', '30'];['27', '27', '27']
ARMEN PETROSYAN;AJ DOBSON;10/23/2022;['30', '30', '30'];['27', '27', '27']
TATSURO TAIRA;CI VERGARA;10/15/2022;['10', '10', '10'];['9', '9', '9']
CHARLES OLIVEIRA;ARMAN TSARUKYAN;04/13/2024;['29', '28', '28'];['28', '29', '29']
FELICIA SPENCER;NORMA DUMONT;05/22/2021;['27', '29', '28'];['30', '28', '29']
JOSH CULIBAO;SHAYILAN NUERDANBIEKE;05/22/2021;['29', '29', '29'];['28', '28', '28']
JAMES LLONTOP;CHRIS PADILLA;04/27/2024;['-', '-', '-'];['-', '-', '-']
CHIDI NJOKUANI;GREGORY RODRIGUES;09/17/2022;['9', '9', '9'];['10', '10', '10']
CHIDI NJOKUANI;RHYS MCKEE;03/30/2024;['30', '30', '28'];['27', '27', '29']
KELVIN GASTELUM;IAN HEINISCH;02/13/2021;['29', '30', '29'];['28', '27', '28']
ALAN PATRICK;MASON JONES;06/05/2021;['8', '8', '8'];['10', '10', '10']
KETLEN VIEIRA;YANA KUNITSKAYA;02/20/2021;['28', '28', '28'];['29', '29', '29']
JOSH EMMETT;BRYCE MITCHELL;12/16/2023;['-', '-', '-'];['-', '-', '-']
ANDRE PETROSKI;JACOB MALKOUN;03/30/2024;['10', '10', '10'];['9', '9', '9']
DEVONTE SMITH;JUSTIN JAYNES;02/06/2021;['10', '10', '10'];['9', '9', '9']
FERNANDO PADILLA;LUIS PAJUELO;03/23/2024;['-', '-', '-'];['-', '-', '-']
HYUNSUNG PARK;SHANNON ROSS;12/09/2023;['10', '10', '10'];['9', '9', '9']
BRUNO SILVA;GERALD MEERSCHAERT;08/13/2022;['18', '18', '18'];['20', '20', '20']
FRANCISCO FIGUEIREDO;JEROME RIVERA;01/20/2021;['29', '29', '29'];['28', '28', '28']
JULIANNA PENA;SARA MCMANN;01/24/2021;['19', '19', '19'];['19', '19', '19']
JONATHAN PEARCE;JOANDERSON BRITO;11/18/2023;['10', '9', '9'];['9', '10', '10']
WU YANAN;LUCIE PUDILOVA;08/20/2022;['9', '9', '9'];['10', '10', '10']
KHAOS WILLIAMS;MATTHEW SEMELSBERGER;06/19/2021;['30', '29', '29'];['27', '28', '28']
MARLON VERA;DAVEY GRANT;06/19/2021;['29', '30', '29'];['28', '26', '27']
ROBERT WHITTAKER;MARVIN VETTORI;09/03/2022;['30', '30', '29'];['27', '27', '28']
TABATHA RICCI;LOOPY GODINEZ;11/11/2023;['28', '28', '30'];['29', '29', '27']
EVAN ELDER;GENARO VALDEZ;07/15/2023;['30', '29', '29'];['26', '28', '28']
IHONATA DINIZ;KARL WILLIAMS;08/10/2024;['29', '30', '29'];['28', '27', '28']
JAN BLACHOWICZ;ALEX PEREIRA;07/29/2023;['28', '28', '29'];['29', '29', '28']
JAMALL EMMERS;KHUSEIN ASKHABOV;02/18/2023;['30', '30', '30'];['27', '27', '27']
MAKHMUD MURADOV;BRYAN BARBERENA;07/22/2023;['30', '30', '30'];['27', '27', '27']
JOEL ALVAREZ;ELVES BRENER;08/03/2024;['20', '20', '20'];['18', '18', '18']
TYSON NAM;BRUNO SILVA;03/11/2023;['9', '9', '9'];['10', '10', '10']
ANTHONY HERNANDEZ;MICHEL PEREIRA;10/19/2024;['40', '39', '40'];['35', '34', '35']
BO NICKAL;JAMIE PICKETT;03/04/2023;['-', '-', '-'];['-', '-', '-']
BRAD KATONA;EAN MATSUMOTO;10/19/2024;['28', '28', '28'];['29', '29', '29']
SEAN WOODSON;COLLIN ANGLIN;11/13/2021;['-', '-', '-'];['-', '-', '-']
EDMEN;NASSOURDINE;11/06/2021;['10', '10', '10'];['9', '10', '9']
VICENTE LUQUE;BELAL MUHAMMAD;04/16/2022;['46', '46', '47'];['49', '49', '48']
VITOR PETRINO;MARCIN PRACHNIO;07/08/2023;['20', '20', '20'];['18', '18', '18']
IVANA PETROVIC;LUANA CAROLINA;07/01/2023;['28', '28', '28'];['29', '29', '29']
GABE GREEN;YOHAN LAINESSE;04/30/2022;['9', '9', '9'];['10', '10', '10']
FRANKIE EDGAR;MARLON VERA;11/06/2021;['20', '19', '19'];['18', '19', '19']
YAZMIN JAUREGUI;DENISE GOMES;07/08/2023;['-', '-', '-'];['-', '-', '-']
MARCIN PRACHNIO;PHILIPE LINS;04/23/2022;['28', '28', '28'];['29', '29', '29']
IBO ASLAN;RAFAEL CERQUEIRA;10/26/2024;['-', '-', '-'];['-', '-', '-']
SAID NURMAGOMEDOV;JONATHAN MARTINEZ;03/11/2023;['28', '28', '28'];['29', '29', '29']
GIAN VILLANTE;CHRIS BARNETT;11/06/2021;['10', '10', '10'];['9', '9', '9']
JUSTIN GAETHJE;MICHAEL CHANDLER;11/06/2021;['29', '30', '29'];['28', '27', '28']
ALEXANDR ROMANOV;CHASE SHERMAN;04/30/2022;['-', '-', '-'];['-', '-', '-']
YANA SANTOS;KAROL ROSA;07/01/2023;['29', '28', '28'];['28', '29', '29']
ISTELA NUNES;SAM HUGHES;04/16/2022;['27', '27', '28'];['29', '29', '28']
SMAIL NAURDIEV;BRUNO SILVA;10/26/2024;['30', '30', '30'];['27', '27', '27']
VICTOR HENRY;TONY GRAVELY;03/11/2023;['30', '29', '28'];['27', '28', '29']
DARREN ELKINS;DANIEL PINEDA;10/19/2024;['29', '29', '29'];['28', '28', '28']
GEOFF NEAL;SHAVKAT RAKHMONOV;03/04/2023;['18', '18', '18'];['20', '20', '20']
TONY FERGUSON;BOBBY GREEN;07/29/2023;['17', '18', '19'];['20', '20', '19']
TOSHIO ML KAZAMA;CHARALAMPOS GRIGORIOU;08/10/2024;['10', '10', '10'];['9', '9', '9']
MARLON VERA;DEIVESON FIGUEIREDO;08/03/2024;['28', '28', '27'];['29', '29', '30']
CHRIS DUNCAN;YANAL ASHMOUZ;07/22/2023;['29', '30', '30'];['28', '27', '27']
STEWART NICOLL;JESUS AGUILAR;08/18/2024;['-', '-', '-'];['-', '-', '-']
JAMIE PICKETT;LAUREANO STAROPOLI;10/23/2021;['29', '30', '30'];['28', '27', '27']
ALEKSA CAMUR;NICOLAE NEGUMEREANU;06/19/2021;['28', '29', '28'];['29', '28', '29']
MARCIN TYBURA;ALEXANDR ROMANOV;08/20/2022;['29', '28', '29'];['28', '28', '28']
CHRISTIAN LEROY DUNCAN;DENIS TIOLIOLINS;11/18/2023;['10', '10', '10'];['9', '9', '9']
NAZIM SADYKHOV;VIACHESLAV;11/11/2023;['28', '28', '28'];['28', '29', '28']
ALESSIO DI CHIRICO;ROMAN KOPYLOV;09/03/2022;['18', '19', '18'];['20', '19', '20']
CHAN SUNG JUNG;DAN IGE;06/19/2021;['48', '49', '49'];['47', '46', '46']
SU MUDAERJI;ZARRUKH ADASHEV;01/20/2021;['29', '29', '30'];['28', '28', '27']
SHAVKAT RAKHMONOV;MICHEL PRAZERES;06/26/2021;['10', '10', '10'];['9', '9', '9']
ARMAN TSARUKYAN;MATT FREVOLA;01/24/2021;['30', '30', '30'];['27', '26', '27']
AMANDA RIBAS;ROSE NAMAJUNAS;03/23/2024;['46', '47', '46'];['49', '48', '49']
SHAVKAT RAKHMONOV;STEPHEN THOMPSON;12/16/2023;['10', '10', '10'];['9', '9', '9']
JUNYONG PARK;ANDRE MUNIZ;12/09/2023;['28', '28', '29'];['29', '29', '28']
RICARDO RAMOS;JULIAN EROSA;03/23/2024;['-', '-'];['-', '-']
MAKI PITOLO;JULIAN MARQUEZ;02/13/2021;['20', '20', '20'];['18', '18', '18']
ZACH REESE;CODY BRUNDAGE;12/02/2023;['-', '-', '-'];['-', '-', '-']
ALEKSEI OLEINIK;CHRIS DAUKAUS;02/20/2021;['-', '-', '-'];['-', '-', '-']
YAN XIAONAN;CARLA ESPARZA;05/22/2021;['8', '9', '9'];['10', '10', '10']
ZHANG WEILI;YAN XIAONAN;04/13/2024;['49', '49', '49'];['45', '45', '45']
MACKENZIE DERN;YAN XIAONAN;10/01/2022;['47', '47', '47'];['48', '48', '47']
JOE PYFER;ALEN AMEDOVSKI;09/17/2022;['-', '-', '-'];['-', '-', '-']
DON'TALE MAYES;CAIO MACHADO;04/27/2024;['29', '29', '29'];['28', '28', '28']
COURT MCGEE;CLAUDIO SILVA;05/22/2021;['29', '30', '30'];['27', '26', '26']
EDSON BARBOZA;BRYCE MITCHELL;03/05/2022;['25', '26', '27'];['30', '30', '30']
ION CUTELABA;DUSTIN JACOBY;05/01/2021;['28', '29', '28'];['29', '28', '28']
ALONZO MENIFIELD;CARLOS ULBERG;05/11/2024;['-', '-', '-'];['-', '-', '-']
GRANT DAWSON;BOBBY GREEN;10/07/2023;['-', '-', '-'];['-', '-', '-']
NATHANIEL WOOD;MUHAMMAD NAIMOV;10/21/2023;['28', '28', '28'];['29', '29', '29']
ABUS MAGOMEDOV;WARLLEY ALVES;05/18/2024;['30', '30', '30'];['26', '26', '26']
EDUARDA MOURA;MONTSERRAT CONEIO RUIZ;11/04/2023;['10', '10', '10'];['8', '8', '9']
IRENE ALDANA;MACY CHIASSON;09/10/2022;['19', '19', '19'];['19', '19', '19']
CHIDI NJOKUANI;DUSKO TODOROVIC;05/21/2022;['-', '-', '-'];['-', '-', '-']
JIM MILLER;ERICK GONZALEZ;10/16/2021;['10', '9', '9'];['9', '10', '10']
DANAA BATGEREL;BRANDON DAVIS;10/16/2021;['3', '-'];['TOTA', '-']
ISMAEL BONFIM;TERRANCE MCKINNEY;01/21/2023;['10', '10', '10'];['9', '9', '9']
JAKE HADLEY;ALLAN NASCIMENTO;05/14/2022;['27', '27', '27'];['30', '30', '30']
SHANNON ROSS;KLEYDSON RODRIGUES;02/12/2023;['-', '-', '-'];['-', '-', '-']
IORDAN WILLIAMS;NASSOURDINE IMAVOV;10/04/2020;['27', '28', '27'];['29', '29', '29']
YORGAN DE CASTRO;CARLOS FELIPE;10/04/2020;['27', '28', '27'];['30', '29', '30']
YAIR RODRIGUEZ;JOSH EMMETT;02/12/2023;['9', '10', '10'];['10', '9', '9']
ODE OSBOURNE;ZARRUKH ADASHEV;06/04/2022;['-', '-', '-'];['-', '-', '-']
TIM ELLIOTT;VICTOR ALTAMIRANO;06/03/2023;['30', '29', '30'];['27', '28', '27']
AMANDA NUNES;IRENE ALDANA;06/10/2023;['50', '50', '50'];['44', '44', '43']
ZAC PAUGA;MODESTAS BUKAUSKAS;06/17/2023;['28', '28', '27'];['29', '29', '30']
JIM MILLER;JESSE BUTLER;06/03/2023;['-', '-', '-'];['-', '-', '-']
HOLLY HOLM;IRENE ALDANA;10/04/2020;['50', '50', '50'];['44', '45', '45']
ALONZO MENIFIELD;ASKAR MOZHAROV;06/04/2022;['-', '-', '-'];['-', '-', '-']
JACK DELLA MADDALENA;RANDY BROWN;02/12/2023;['-', '-', '-'];['-', '-', '-']
JAMIE MULLARKEY;FRANCISCO PRADO;02/12/2023;['30', '30', '30'];['27', '27', '27']
CHARLES JOURDAIN;JOSH CULIBAO;10/04/2020;['28', '28', '30'];['28', '29', '27']
ISTELA NUNES;ARIANE CARNELOSSI;10/16/2021;['19', '19', '20'];['19', '19', '18']
VIVIANE ARAUJO;ANDREA LEE;05/14/2022;['29', '29', '29'];['28', '27', '27']
WARLLEY ALVES;NICOLAS DALBY;01/21/2023;['28', '29', '28'];['29', '28', '29']
POLYANA VIANA;TABATHA RICCI;05/21/2022;['28', '28', '28'];['29', '29', '29']
MANON FIOROT;MAYRA BUENO SILVA;10/16/2021;['30', '30', '30'];['26', '27', '27']
LI JINGLIANG;DANIEL RODRIGUEZ;09/10/2022;['28', '28', '29'];['29', '29', '28']
GIAN VILLANTE;JAKE COLLIER;12/05/2020;['27', '27', '27'];['30', '30', '30']
JACK HERMANSSON;MARVIN VETTORI;12/05/2020;['46', '46', '45'];['49', '49', '49']
ANGELA HILL;DENISE GOMES;11/04/2023;['30', '29', '29'];['27', '28', '28']
MIKE BREEDEN;ANSHUL JUBLI;10/21/2023;['18', '18', '18'];['20', '20', '20']
TAMIRES VIDAL;MELISSA GATTO;05/18/2024;['18', '18', '18'];['20', '20', '20']
JOAQUIN BUCKLEY;NURSULTON RUZIBOEY;05/11/2024;['30', '30', '29'];['27', '26', '27']
ASHLEY YODER;EMILY DUCOTE;10/14/2023;['27', '28', '28'];['30', '29', '29']
SEAN STRICKLAND;KRZYSZTOF JOTKO;05/01/2021;['30', '29', '30'];['27', '28', '27']
TANNER BOSER;RODRIGO NASCIMENTO;09/17/2022;['29', '28', '27'];['28', '29', '30']
BRUNO SILVA;VICTOR RODRIGUEZ;05/22/2021;['-', '-', '-'];['-', '-', '-']
MARNIC MANN;KETLEN SOUZA;04/27/2024;['27', '27', '27'];['30', '30', '30']
JUSTIN GAETHJE;MAX HOLLOWAY;04/13/2024;['37', '37', '38'];['39', '39', '38']
JUSTIN TAFA;JARED VANDERAA;05/22/2021;['27', '28', '27'];['30', '29', '30']
RANDY BROWN;FRANCISCO TRINALDO;10/01/2022;['29', '29', '29'];['28', '28', '28']
MIESHA TATE;JULIA AVILA;12/02/2023;['20', '20', '20'];['18', '17', '17']
CHARLES ROSA;DARRICK MINNER;02/20/2021;['26', '27', '27'];['30', '29', '30']
RICKY SIMON;BRIAN KELLEHER;02/13/2021;['30', '30', '30'];['27', '27', '27']
TIM ELLIOTT;SUMUDAERJI;12/09/2023;['-', '-', '-'];['-', '-', '-']
KURT HOLOBAUGH;TREY OGDEN;03/23/2024;['27', '27', '27'];['30', '30', '30']
ANGEL PACHECO;CAOLAN LOUGHRAN;03/30/2024;['27', '27', '26'];['30', '30', '30']
ALEXANDRE PANTOJA;BRANDON ROYVAL;12/16/2023;['49', '50', '50'];['46', '45', '45']
BRAD TAVARES;ANTONIO CARLOS JUNIOR;01/24/2021;['30', '29', '30'];['27', '28', '27']
WARLLEY ALVES;JEREMIAH WELLS;06/26/2021;['9', '9', '9'];['10', '10', '10']
DALCHA LUNGIAMBULA;MARKUS PEREZ;01/20/2021;['29', '29', '29'];['28', '28', '28']
WILLIAM GOMIS;JARNO ERRENS;09/03/2022;['29', '29', '29'];['29', '28', '28']
JARED GORDON;MARK MADSEN;11/11/2023;['-', '-', '-'];['-', '-', '-']
ALEKSEI OLEINIK;SERGHEI SPIVAC;06/19/2021;['28', '28', '28'];['29', '29', '29']
KANAKO MURATA;VIRNA JANDIROBA;06/19/2021;['19', '18', '18'];['19', '20', '20']
MICK PARKIN;CAIO MACHADO;11/18/2023;['29', '29', '29'];['28', '28', '28']
LEONARDO SANTOS;JARED GORDON;08/20/2022;['27', '27', '27'];['30', '30', '30']
TABATHA RICCI;MARIA OLIVEIRA;10/23/2021;['30', '30', '30'];['27', '27', '27']
SONG KENAN;RICKY GLENN;08/18/2024;['29', '30', '30'];['28', '26', '27']
CORY SANDHAGEN;IMAR NORMAGOMEDOV;08/03/2024;['45', '46', '46'];['50', '49', '49']
KETLEN VIEIRA;PANNIE KIANZAD;07/22/2023;['29', '29', '29'];['28', '28', '28']
DERRICK LEWIS;MARCOS ROGERIO DE LIMA;07/29/2023;['-', '-'];['-', '-']
YANA SANTOS;CHELSEA CHANDLER;08/10/2024;['30', '29', '29'];['27', '28', '28']
MATEUSZ GAMROT;JALIN TURNER;03/04/2023;['29', '28', '30'];['28', '29', '27']
MATHEUS NICOLAU;ASUAL MABAYEY;10/19/2024;['28', '28', '28'];['29', '29', '29']
ARIANE LIPSKI;JJ ALDRICH;03/11/2023;['30', '30', '30'];['27', '27', '27']
RINAT FAKHRETDINOV;CARLOS LEAL;10/26/2024;['29', '30', '29'];['28', '27', '28']
ALATENG HEILI;KEVIN CROOM;04/16/2022;['-', '-', '-'];['-', '-', '-']
ALEX PEREIRA;ANDREAS MICHAILIDIS;11/06/2021;['9', '9', '9'];['10', '10', '10']
GURAM KUTATELADZE;ELVES BRENER;07/01/2023;['20', '20', '20'];['18', '18', '18']
DANIEL DA SILVA;FRANCISCO FIGUEIREDO;04/30/2022;['-', '-', '-'];['-', '-', '-']
MARIO BAUTISTA;GUIDO CANNETTI;03/11/2023;['-', '-', '-'];['-', '-', '-']
GEOFF NEAL;RAFAEL DOS ANJOS;10/26/2024;['-', '-', '-'];['-', '-', '-']
DEAN BARRY;MIKE JACKSON;04/23/2022;['-', '-', '-'];['-', '-', '-']
JIMMY CRUTE;ALONZO MENIFIELD;07/08/2023;['9', '9', '9'];['10', '10', '10']
DUSTIN JACOBY;JOHN ALLAN;11/06/2021;['29', '29', '30'];['28', '28', '27']
RAFAEL DOS ANJOS;RENATO MOICANO;03/05/2022;['49', '50', '49'];['44', '44', '45']
CI VERGARA;RAMAZAN TEMIROV;10/12/2024;['-', '-', '-'];['-', '-', '-']
FRANCIS MARSHALL;WILLIAM GOMIS;04/22/2023;['28', '29', '28'];['29', '28', '29']
BRAD RIDDELL;RAFAEL FIZIEV;12/04/2021;['18', '18', '18'];['20', '20', '20']
MARC-ANDRE BARRIAULT;DUSTIN STOLTZFUS;11/02/2024;['-', '-'];['-', '-']
AUSTIN HUBBARD;ALEXANDER HERNANDEZ;10/05/2024;['30', '28', '28'];['27', '29', '29']
AARON PHILLIPS;GASTON BOLANOS;04/15/2023;['28', '27', '27'];['29', '30', '30']
MATTHEW SEMELSBERGER;AL FLETCHER;03/12/2022;['29', '29', '29'];['28', '28', '28']
ANTHONY SMITH;ROMAN DOLIDZE;06/29/2024;['27', '28', '28'];['30', '29', '29']
AMANDA NUNES;JULIANNA PENA;12/11/2021;['10', '10', '10'];['9', '9', '9']
TJ BROWN;CHARLES ROSA;01/15/2022;['29', '29', '29'];['28', '28', '28']
SHARA MAGOMEDOV;ANTONIO TROCOLI;06/22/2024;['19', '20', '20'];['19', '18', '18']
THIAGO SANTOS;MAGOMED ANKALAEV;03/12/2022;['47', '46', '46'];['48', '49', '49']
YAZMIN JAUREGUI;KETLEN SOUZA;09/14/2024;['-', '-', '-'];['-', '-', '-']
AJ DOBSON;TAFON NCHUKWI;08/12/2023;['29', '29', '29'];['28', '28', '28']
ZYGIMANTAS RAMASKA;NATHAN FLETCHER;09/07/2024;['10', '9', '10'];['9', '10', '9']
BRIAN KELLEHER;KEVIN CROOM;01/15/2022;['30', '30', '29'];['27', '27', '28']
JAQUELINE AMORIM;MONTSERRAT CONEJO RUIZ;08/12/2023;['20', '20', '20'];['16', '16', '18']
KING GREEN;PADDY PIMBLETT;07/27/2024;['-', '-', '-'];['-', '-', '-']
KURT HOLOBAUGH;KAYNAN KRUSCHEWSKY;07/20/2024;['29', '29', '29'];['28', '28', '28']
DIEGO LOPES;GAVIN TUCKER;08/05/2023;['-', '-', '-'];['-', '-', '-']
ORION COSCE;BLOOD DIAMOND;07/30/2022;['29', '29', '29'];['28', '28', '28']
RYAN BENOIT;ZARRUKH ADASHEV;07/31/2021;['27', '28', '27'];['30', '29', '30']
CRISTIAN QUINONEZ;RAONL BARCELOS;02/24/2024;['19', '19', '20'];['19', '19', '18']
JAI HERBERT;KYLE NELSON;07/23/2022;['29', '29', '29'];['28', '28', '28']
PAUL CRAIG;VOLKAN OEZDEMIR;07/23/2022;['27', '27', '27'];['30', '30', '30']
RINYA NAKAMURA;CARLOS VERA;02/17/2024;['30', '30', '30'];['27', '27', '27']
ALONZO MENIFIELD;ED HERMAN;08/07/2021;['30', '30', '30'];['27', '27', '27']
JAIRZINHO ROZENSTRUIK;CIRYL GANE;02/27/2021;['45', '45', '45'];['50', '50', '50']
TIM ELLIOTT;JORDAN ESPINOSA;03/06/2021;['30', '30', '30'];['27', '27', '25']
IMAR NURMAGOMEDOV;BEKZAT ALMAKHAN;03/02/2024;['30', '30', '30'];['25', '26', '26']
OVINCE SAINT PREUX;KENNEDY NZECHOKWO;03/16/2024;['29', '28', '29'];['28', '29', '28']
THOMAS PETERSEN;JAMAL POGUES;02/03/2024;['28', '27', '28'];['29', '30', '29']
MATTHEW SEMELSBERGER;PRESTON PARSONS;01/13/2024;['27', '27', '27'];['30', '30', '30']
ISLAM MAKHACHEV;DREW DOBER;03/06/2021;['20', '20', '20'];['18', '17', '18']
GILBERT BURNS;JACK DELLA MADDALENA;03/09/2024;['20', '20', '19'];['18', '18', '19']
SEAN STRICKLAND;JACK MARSHMAN;10/31/2020;['30', '30', '30'];['27', '27', '27']
CHRISTIAN RODRIGUEZ;JOSHUA WEEMS;10/29/2022;['-', '-', '-'];['-', '-', '-']
ALEXANDER VOLKOV;WALT HARRIS;10/24/2020;['10', '10', '10'];['9', '9', '9']
MATT FREVOLA;GENARO VALDEZ;01/22/2022;['-', '-', '-'];['-', '-', '-']
ABDUL RAZAK ALHASSAN;JACOB MALKOUN;04/17/2021;['27', '27', '27'];['30', '30', '30']
CARLA ESPARZA;ZHANG WEILI;11/12/2022;['9', '9', '9'];['10', '10', '10']
MAX HOLLOWAY;CHAN SUNG JUNG;08/26/2023;['19', '20', '20'];['19', '17', '18']
MORGAN CHARRIERE;MANOLO ZECCHINI;09/02/2023;['-', '-', '-'];['-', '-', '-']
ERIN BLANCHFIELD;MOLLY MCCANN;11/12/2022;['-', '-', '-'];['-', '-', '-']
SCOTT HOLTZMAN;MATEUSZ GAMROT;04/10/2021;['9', '9', '10'];['10', '10', '9']
CARLI JUDICE;GABRIELLA FERNANDES;06/15/2024;['28', '29', '28'];['29', '28', '29']
GINA MAZANY;RACHAEL OSTOVICH;11/28/2020;['20', '20', '20'];['18', '18', '18']
JARED GOODEN;ABUBAKAR NURMAGOMEDOV;03/27/2021;['27', '27', '27'];['30', '30', '30']
KATLYN CHOOKAGIAN;CYNTHIA CALVILLO;11/21/2020;['30', '30', '30'];['27', '27', '27']
PHIL ROWE;JAKE MATTHEWS;06/01/2024;['28', '27', '28'];['29', '30', '29']
URIAH HALL;ANDERSON SILVA;10/31/2020;['28', '29', '29'];['29', '28', '28']
MOHAMMED USMAN;JAKE COLLIER;09/23/2023;['29', '30', '29'];['28', '27', '28']
MARINA RODRIGUEZ;MICHELLE WATERSON-GOMEZ;09/23/2023;['10', '10', '10'];['8', '8', '8']
BRAD KATONA;JESSE BUTLER;06/08/2024;['30', '30', '30'];['27', '27', '26']
TJ BROWN;ERIK SILVA;12/10/2022;['20', '20', '20'];['18', '18', '18']
MIRSAD BEKTIC;DAMON JACKSON;09/19/2020;['20', '20', '20'];['18', '18', '18']
HAKEEM DAWODU;ZUBAIRA TUKHUGOV;09/27/2020;['29', '30', '28'];['28', '27', '29']
ANTHONY SMITH;RYAN SPANN;09/18/2021;['-', '-', '-'];['-', '-', '-']
RAFA GARCIA;MAHESHATE;12/17/2022;['30', '30', '30'];['27', '27', '27']
HAILEY COWAN;JAMEY-LYN HORTH;04/29/2023;['28', '28', '28'];['29', '29', '29']
JESSICA EYE;MAYCEE BARBER;07/02/2022;['28', '28', '27'];['29', '29', '30']
ROOSEVELT ROBERTS;KEVIN CROOM;09/12/2020;['-', '-', '-'];['-', '-', '-']
GUSTAVO LOPEZ;ALATENG HEILI;09/18/2021;['28', '28', '28'];['2', '29', 'WHIE JUDCE]']
KEVIN LEE;DANIEL RODRIGUEZ;08/28/2021;['28', '28', '28'];['29', '29', '29']
NATE MANESS;UMAR NURMAGOMEDOVS;06/25/2022;['25', '27', '26'];['30', '30', '30']
MARCOS ROGERIO DE LIMA;WALDO CORTES-ACOSTA;04/29/2023;['29', '29', '29'];['28', '28', '28']
ROBBIE LAWLER;NEIL MAGNY;08/29/2020;['27', '27', '27'];['30', '30', '30']
BRAXTON SMITH;PARKER PORTER;05/06/2023;['-', '-'];['-', '-']
DIEGO FERREIRA;MICHAEL JOHNSON;05/20/2023;['9', '9', '10'];['10', '10', '9']
NATAN LEVY;GENARO VALDEZ;12/03/2022;['29', '29', '30'];['28', '28', '27']
DA'MON BLACKSHEAR;LUAN LACERDA;06/03/2023;['10', '10', '10'];['9', '9', '9']
ELISE REED;JINH YU FREY;06/03/2023;['29', '29', '29'];['28', '28', '28']
DARREN ELKINS;JONATHAN PEARCE;12/03/2022;['27', '27', '26'];['30', '30', '30']
ANDRE FIALHO;JOAQUIN BUCKLEY;05/20/2023;['10', '10', '9'];['9', '9', '10']
JI YEON KIM;ALEXA GRASSO;08/29/2020;['27', '27', '27'];['30', '30', '30']
MARINA RODRIGUEZ;VIRNA JANDIROBA;05/06/2023;['28', '28', '27'];['29', '29', '30']
ANDRE PETROSKI;MICHEAL GILLMORE;08/28/2021;['19', '20', '19'];['19', '18', '19']
JOSH QUINLAN;TREY WATERS;04/29/2023;['27', '27', '27'];['30', '30', '30']
CHRIS CURTIS;RODOLFO VIEIRA;06/25/2022;['29', '29', '29'];['28', '28', '28']
JESSICA-ROSE CLARK;JULIJA STOLIARENKO;07/02/2022;['-', '-', '-'];['-', '-', '-']
SERGEI PAVLOVICH;CURTIS BLAYDES;04/22/2023;['-', '-', '-'];['-', '-', '-']
EMILY WHITMIRE;HANNAH GOLDY;09/18/2021;['-', '-', '-'];['-', '-', '-']
JULIA AVILA;SIJARA EUBANKS;09/12/2020;['27', '27', '27'];['29', '29', '29']
ION CUTELABA;DEVIN CLARK;09/18/2021;['29', '29', '30'];['26', '27', '26']
KETLEN VIEIRA;SIJARA EUBANKS;09/27/2020;['29', '29', '29'];['28', '28', '28']
BRYAN BATTLE;RINAT FAKHRETDINOV;12/17/2022;['25', '25', '27'];['30', '30', '30']
SERGEI SPIVAC;GREG HARDY;03/05/2022;['-', '-', '-'];['-', '-', '-']
CAMERON SAAIMAN;STEVEN KOSLOW;12/10/2022;['2Q19', '18', '1918'];['18', '19', '19']
JORDAN ESPINOSA;DAVID DVORAK;09/19/2020;['27', '27', '27'];['30', '30', '30']
BRYCE MITCHELL;DAN IGE;09/23/2023;['30', '29', '29'];['27', '28', '28']
CHARLES RADTKE;CARLOS PRATES;06/08/2024;['m', '-', 'TOTA'];['TOTA', '-', 'WHITE JUDGE']
GUSTAVO LOPEZ;ANTHONY BIRCHAK;11/07/2020;['-', '-', '-'];['-', '-', '-']
GRANT DAWSON;JOE SOLECKI;06/01/2024;['29', '30', '30'];['28', '27', '27']
JACOB MALKOUN;CODY BRUNDAGE;09/23/2023;['-', '-', '-'];['-', '-', '-']
MIKE PERRY;TIM MEANS;11/21/2020;['28', '27', '28'];['29', '30', '29']
ALONZO MENIFIELD;FABIO CHERANT;03/27/2021;['-', '-', '-'];['-', '-', '-']
MARTIN DAY;ANDERSON DOS SANTOS;11/28/2020;['-', '-', '-'];['-', '-', '-']
JIMMY FLICK;NATE MANESS;06/15/2024;['27', '27', '28'];['30', '30', '29']
ANDRE PETROSKI;WELLINGTON;11/12/2022;['29', '30', '30'];['28', '27', '27']
TAYLOR LAPILUS;CAOLAN LOUGHRAN;09/02/2023;['29', '29', '29'];['28', '28', '28']
JOHN MAKDESSI;IGNACIO BAHAMONDES;04/10/2021;['28', '29', '30'];['29', '28', '27']
LUIS PENA;ALEXANDER MUNOZ;04/17/2021;['28', '29', '29'];['29', '28', '28']
ANTHONY SMITH;RYAN SPANN;08/26/2023;['29', '29', '28'];['28', '28', '29']
DUSTIN POIRIER;MICHAEL CHANDLER;11/12/2022;['19', '19', '19'];['19', '19', '19']
